person_profession_id,person_id,profession_id
1,1,50
2,1,43
3,1,2
4,2,43
5,2,41
6,2,31
7,2,13
8,3,22
9,3,41
10,3,25
11,4,50
12,4,33
13,4,1
14,5,67
15,5,41
16,5,31
17,6,50
18,6,31
19,6,43
20,7,49
21,8,3
22,8,31
23,8,43
24,8,33
25,9,43
26,9,31
27,10,43
28,10,31
29,10,50
30,11,1
31,11,53
32,11,50
33,12,74
34,12,3
35,13,32
36,13,38
37,14,50
38,15,41
39,16,111
40,16,33
41,16,43
42,17,43
43,17,31
44,18,43
45,18,31
46,19,44
47,19,31
48,19,47
49,20,31
50,21,43
51,21,31
52,22,33
53,24,43
54,24,31
55,24,41
56,25,43
57,25,31
58,26,65
59,26,75
60,26,43
61,27,41
62,27,33
63,27,43
64,28,96
65,28,33
66,29,31
67,29,43
68,30,41
69,30,31
70,30,61
71,31,31
72,31,41
73,32,43
74,32,31
75,33,2
76,34,43
77,34,31
78,35,31
79,35,41
80,35,40
81,36,31
82,36,43
83,37,74
84,38,29
85,38,41
86,38,31
87,39,31
88,39,43
89,40,43
90,40,31
91,41,41
92,41,33
93,42,43
94,42,2
95,42,31
96,42,35
97,43,43
98,43,31
99,44,31
100,45,111
101,45,43
102,45,31
103,46,74
104,46,43
105,46,41
106,46,31
107,47,50
108,48,32
109,48,34
110,48,31
111,49,33
112,49,75
113,49,116
114,50,50
115,50,43
116,50,31
117,51,31
118,52,43
119,52,81
120,52,31
121,53,41
122,53,75
123,54,50
124,54,43
125,55,50
126,55,43
127,57,33
128,57,31
129,58,92
130,58,41
131,58,109
132,59,43
133,59,31
134,60,50
135,60,31
136,60,43
137,61,31
138,62,31
139,62,41
140,65,81
141,65,109
142,65,10
143,66,50
144,67,43
145,67,31
146,69,50
147,69,43
148,69,31
149,70,43
150,70,41
151,71,43
152,72,50
153,72,10
154,73,43
155,74,50
156,75,41
157,76,43
158,76,49
159,76,31
160,77,41
161,77,50
162,77,31
163,78,43
164,78,49
165,80,81
166,80,109
167,80,43
168,81,41
169,81,33
170,81,109
171,82,41
172,82,43
173,83,73
174,83,41
175,84,50
176,85,43
177,85,49
178,86,50
179,86,31
180,87,10
181,88,50
182,88,40
183,88,31
184,89,43
185,89,10
186,89,31
187,90,50
188,91,29
189,91,43
190,91,10
191,92,50
192,92,31
193,93,50
194,93,41
195,93,31
196,95,41
197,95,31
198,96,50
199,96,43
200,96,31
201,97,73
202,97,31
203,98,32
204,98,31
205,99,50
206,99,43
207,99,31
208,100,31
209,101,105
210,101,43
211,101,10
212,101,33
213,102,50
214,102,43
215,103,74
216,103,41
217,103,33
218,104,50
219,104,43
220,105,50
221,105,31
222,106,43
223,106,31
224,106,33
225,107,43
226,107,31
227,108,43
228,108,31
229,108,2
230,108,42
231,108,3
232,109,3
233,109,33
234,109,31
235,110,31
236,111,44
237,112,44
238,113,31
239,113,41
240,115,50
241,115,3
242,115,43
243,115,31
244,116,3
245,116,41
246,116,43
247,116,31
248,117,41
249,118,41
250,118,34
251,118,43
252,119,43
253,119,41
254,120,50
255,120,5
256,120,31
257,121,43
258,122,50
259,122,43
260,122,3
261,124,43
262,124,31
263,124,41
264,125,31
265,125,43
266,126,3
267,128,22
268,128,43
269,129,41
270,130,18
271,130,19
272,130,22
273,130,33
274,131,50
275,131,43
276,132,43
277,132,38
278,133,31
279,133,34
280,133,43
281,135,50
282,135,33
283,135,41
284,137,43
285,138,34
286,138,33
287,138,32
288,139,38
289,139,41
290,140,43
291,140,31
292,141,41
293,143,34
294,143,33
295,144,41
296,144,31
297,145,38
298,145,35
299,145,41
300,146,41
301,147,33
302,148,41
303,148,43
304,148,31
305,148,50
306,149,43
307,150,41
308,150,43
309,150,19
310,150,31
311,151,27
312,151,10
313,152,50
314,152,31
315,152,43
316,153,52
317,154,32
318,154,43
319,154,31
320,154,33
321,155,41
322,155,31
323,156,32
324,156,31
325,156,43
326,156,7
327,156,10
328,157,41
329,157,33
330,158,41
331,158,33
332,158,43
333,159,41
334,160,41
335,160,22
336,160,33
337,161,35
338,161,38
339,161,33
340,161,23
341,161,31
342,162,50
343,162,43
344,162,33
345,163,43
346,163,31
347,164,31
348,165,32
349,165,64
350,165,31
351,166,50
352,166,33
353,167,41
354,167,34
355,167,68
356,167,33
357,167,24
358,168,20
359,168,19
360,168,35
361,168,113
362,168,41
363,169,50
364,169,43
365,170,81
366,170,31
367,172,50
368,172,43
369,173,31
370,173,43
371,174,50
372,174,31
373,174,43
374,175,111
375,176,32
376,176,31
377,176,43
378,177,32
379,177,92
380,180,41
381,180,33
382,182,33
383,183,50
384,183,31
385,183,43
386,184,32
387,184,43
388,184,31
389,185,43
390,185,31
391,186,18
392,187,80
393,188,81
394,188,43
395,189,17
396,189,22
397,190,43
398,190,31
399,191,50
400,194,43
401,194,31
402,195,32
403,195,43
404,195,49
405,196,35
406,196,30
407,196,29
408,196,41
409,197,32
410,197,43
411,198,50
412,198,43
413,199,33
414,200,41
415,201,32
416,201,43
417,202,43
418,202,31
419,203,61
420,203,43
421,204,40
422,205,80
423,205,31
424,205,43
425,205,7
426,206,81
427,206,43
428,210,30
429,210,114
430,211,40
431,211,114
432,212,41
433,213,6
434,214,40
435,214,43
436,215,50
437,215,31
438,216,31
439,217,104
440,217,33
441,217,43
442,220,43
443,220,31
444,221,31
445,222,31
446,222,43
447,222,33
448,222,28
449,223,31
450,223,33
451,223,43
452,224,65
453,224,33
454,225,40
455,225,50
456,225,10
457,226,43
458,226,31
459,228,50
460,228,19
461,229,33
462,230,50
463,230,31
464,231,50
465,232,18
466,232,25
467,232,111
468,233,51
469,234,31
470,235,28
471,236,31
472,236,50
473,236,43
474,237,67
475,237,31
476,238,43
477,238,31
478,242,50
479,243,31
480,244,43
481,244,31
482,245,43
483,245,31
484,246,43
485,246,31
486,247,41
487,247,43
488,248,30
489,248,33
490,248,10
491,248,43
492,249,41
493,249,33
494,249,43
495,250,33
496,250,43
497,251,43
498,251,41
499,251,16
500,252,43
501,252,31
502,252,34
503,253,50
504,253,35
505,253,41
506,254,50
507,255,43
508,255,8
509,256,50
510,256,16
511,257,18
512,258,50
513,258,43
514,258,35
515,259,61
516,260,33
517,260,35
518,261,50
519,261,40
520,261,41
521,261,43
522,262,31
523,264,41
524,265,73
525,265,43
526,265,31
527,266,81
528,266,31
529,267,41
530,267,31
531,268,41
532,268,43
533,269,41
534,270,16
535,270,43
536,271,45
537,271,41
538,271,33
539,272,41
540,272,10
541,272,43
542,272,31
543,273,50
544,273,10
545,273,33
546,274,47
547,274,43
548,274,33
549,274,50
550,275,50
551,276,43
552,277,19
553,278,41
554,278,45
555,278,43
556,279,33
557,281,50
558,281,43
559,282,50
560,282,43
561,282,33
562,283,50
563,283,41
564,283,10
565,284,31
566,284,41
567,285,111
568,286,50
569,286,43
570,286,10
571,286,19
572,286,33
573,287,114
574,287,50
575,287,31
576,288,43
577,288,41
578,288,31
579,288,33
580,289,40
581,289,43
582,289,31
583,290,43
584,291,41
585,292,57
586,292,43
587,292,33
588,293,41
589,293,43
590,294,16
591,294,2
592,294,41
593,295,50
594,295,43
595,296,43
596,297,2
597,298,61
598,300,50
599,300,10
600,301,104
601,302,110
602,302,50
603,302,41
604,303,10
605,303,50
606,303,43
607,304,43
608,304,41
609,304,50
610,305,50
611,306,41
612,306,43
613,306,33
614,307,29
615,307,43
616,307,31
617,308,16
618,308,42
619,309,33
620,310,50
621,310,41
622,311,41
623,312,50
624,313,29
625,313,46
626,313,16
627,314,1
628,314,41
629,314,16
630,314,31
631,315,50
632,315,10
633,315,43
634,315,111
635,316,114
636,316,43
637,317,73
638,317,35
639,317,25
640,317,31
641,317,43
642,318,73
643,318,111
644,318,31
645,319,41
646,319,43
647,320,10
648,320,40
649,320,50
650,320,43
651,321,31
652,322,43
653,323,31
654,324,31
655,325,33
656,325,43
657,325,31
658,326,40
659,326,41
660,326,10
661,327,50
662,327,31
663,328,43
664,328,31
665,329,43
666,330,50
667,332,50
668,332,10
669,332,41
670,333,50
671,333,43
672,333,41
673,334,50
674,334,40
675,334,43
676,335,50
677,335,31
678,335,60
679,336,34
680,336,10
681,336,43
682,336,31
683,337,50
684,337,43
685,338,41
686,339,43
687,339,31
688,340,43
689,340,31
690,341,61
691,341,41
692,341,43
693,342,41
694,342,43
695,343,50
696,343,43
697,343,31
698,344,81
699,344,9
700,344,31
701,345,43
702,345,10
703,345,33
704,346,41
705,346,43
706,346,79
707,347,43
708,347,16
709,347,29
710,347,31
711,348,41
712,348,43
713,349,41
714,350,50
715,350,35
716,351,43
717,351,31
718,352,49
719,352,31
720,353,41
721,354,20
722,354,31
723,354,43
724,355,74
725,355,41
726,355,43
727,355,10
728,357,31
729,357,45
730,357,33
731,358,50
732,358,42
733,358,115
734,359,50
735,359,9
736,359,31
737,360,40
738,360,50
739,360,39
740,361,33
741,362,1
742,363,25
743,363,33
744,363,31
745,363,7
746,363,1
747,364,114
748,364,41
749,364,38
750,364,42
751,365,104
752,365,43
753,365,33
754,365,109
755,366,19
756,366,33
757,366,41
758,366,9
759,367,50
760,367,10
761,367,43
762,367,31
763,368,104
764,368,33
765,369,43
766,369,31
767,370,29
768,370,33
769,370,9
770,371,35
771,371,33
772,372,50
773,372,31
774,372,43
775,373,30
776,373,31
777,374,79
778,374,43
779,374,31
780,375,41
781,376,33
782,376,43
783,377,33
784,378,43
785,379,23
786,380,41
787,380,108
788,380,33
789,380,23
790,381,50
791,381,31
792,381,43
793,381,9
794,381,10
795,382,50
796,382,43
797,382,31
798,383,31
799,383,43
800,383,35
801,384,50
802,384,43
803,384,41
804,385,104
805,385,9
806,385,43
807,386,31
808,386,43
809,387,40
810,387,43
811,388,31
812,389,40
813,389,33
814,389,50
815,389,2
816,390,31
817,390,29
818,390,1
819,390,104
820,390,7
821,391,43
822,392,115
823,393,33
824,393,109
825,393,35
826,394,38
827,394,19
828,394,35
829,394,41
830,395,1
831,396,40
832,396,43
833,397,115
834,397,41
835,398,35
836,399,43
837,399,7
838,399,10
839,399,40
840,399,33
841,400,43
842,400,23
843,403,31
844,403,33
845,405,50
846,405,10
847,405,43
848,406,55
849,407,74
850,410,40
851,411,80
852,411,75
853,411,45
854,412,34
